S.No,Text,,,,,,,,,,,,,,,,,,,,,
7,to use bicycles and electric motor vehicles.,,,,,,,,,,,,,,,,,,,,,
8,Allow public transport only inside city and encourage using it.(2) Provide Smart card by RTA authority to use all public transport.,,,,,,,,,,,,,,,,,,,,,
9,Free wifi connection across the city beautiful,,,,,,,,,,,,,,,,,,,,,
10,"Sir,",,,,,,,,,,,,,,,,,,,,,
1,"Sir,
You have always propagated idea of skill development in our nation in Man Ke Bat.
Kindly through some light on children’s career education and introduce Career Education Training & Research Council(CERTC), which is doing fantastic job in this field for guidance of our youth for skill development.",,,,,,,,,,,,,,,,,,,,,
2,Free wifi connection across the city beautiful,,,,,,,,,,,,,,,,,,,,,
3,Security cameras on every street light.,,,,,,,,,,,,,,,,,,,,,
4,Security cameras on every street light.,,,,,,,,,,,,,,,,,,,,,
5,Dog catching van. To catch dogs and even cats roaming around in street. Keeping them in proper care and available for adoption.,,,,,,,,,,,,,,,,,,,,,
6,"Smart city should be green city, make small gardens, children’s park and water fountains.",,,,,,,,,,,,,,,,,,,,,
7,"In the border of the city, make huge parking facilities for privet vehicles",,,,,,,,,,,,,,,,,,,,,
8,Give important to use water transport,,,,,,,,,,,,,,,,,,,,,
9,Encourage to use bicycles and electric motor vehicles.,,,,,,,,,,,,,,,,,,,,,
10,Allow public transport only inside city and encourage using it.(2) Provide Smart card by RTA authority to use all public transport.,,,,,,,,,,,,,,,,,,,,,
1,Allow public transport only inside city and encourage using it.(2) Provide Smart card by RTA authority to use all public transport.,,,,,,,,,,,,,,,,,,,,,
2,Dear Modiji....everyone say do this and do that. I am requesting you to use my services to make India best place to live in World. If you will have a force of 10 Million youth then your mission will become easy.,,,,,,,,,,,,,,,,,,,,,
3,"Dear Prime Minister,",,,,,,,,,,,,,,,,,,,,,
4,Dear Modiji....everyone say do this and do that. I am requesting you to use my services to make India best place to live in India. If you will have a force of 10 Million youth then your mission will become easy.,,,,,,,,,,,,,,,,,,,,,
5,"Most Respected sir, U R the ultimate hero of the nation.. recently visited Porbandar... Mujhe bahut khed huva vaha ka town ka sadak dekhne ka baad.. Mahatma no ka gaav me sadak theek hona chahiye...This is place of National and international portance., Shouldn't be neglected by local bodies... I felt very badly in travelling to kirti mandir... hope needful be done...",,,,,,,,,,,,,,,,,,,,,
6,TO HONORABLE PRIME MINISTER SHRI NARENDRA BHI MODI JI . I AM SUNMEET SINGH FROM PUNE MY SHOP IN BHAWANI PETH AND IN SLUM AREA AND MY BUSINESS SMALL AND RUN VERY SLOW AND I GET NOTICE FROM PMC TO PAY LBT TAX WITH FINE OF 5000 AND I HAVE NO ENERGY TO PAY THIS . SO PLZ HELP ME SIR,,,,,,,,,,,,,,,,,,,,,
7,"Hon.Modiji with due respect I hereby share the some policy matters. Sir as you are aware that the Department of Agriculture & co operation, Ministry of Agriculture, GOI, New Delhi has set up Agro Economic Research Centre atSardar Patel University,VV Nagar with MOU was executed between the Union Of India through the Under Secretary, Ministry of Agri & co operation, GOI New Delhi with effect from 01.05.1961fullyfundedbythe MinistryofAgri, New Delhi.After 56 yrs govtwantstostopthe grantfrom 17-18",,,,,,,,,,,,,,,,,,,,,
8,"Respected Modiji Pranam. At the outset I would like to congratulate you for your sincere efforts for improvement of our Nation.  Sir , humble request to take firm action against the culprits who are attacking Doctors. There is a sense of fear and frustration amongst all doctors.Intelligent students are not opting for Medicine after 12th std.In long run this is going to harm our health care system",,,,,,,,,,,,,,,,,,,,,
9,"The most respected PM When a property is sold, the buyer has to run from pillar to post for transferring the name in the Property Tax, Water Tax, Electricity Charges, Patta etc. and everywhere work is not done without a hefty bribe.  Since all the Registration Departments are digitalised, will you please see that once the Registration of property is done, automaticallay all these Name transfers are done without the Buyer applying separately for all these. Prabhakar",,,,,,,,,,,,,,,,,,,,,
10,"Dear modiji, I am very big fan of yours. Today I want to draw your attention towards the wastage of paper and  in education sector every year. As the every public school put burden on the parents to buy new set of books every year. And the previous years book get wasted because these cannot be used by anyone again. As we teach our kids about the global warming and keep saying that don't waste paper. But we don't have answer to their questions about this kind of wastage. Sir, please do something.",,,,,,,,,,,,,,,,,,,,,
1,THIS IS REGARDING GEO SPATIAL SETTLITE TECHNOLOGY BASED DRONE SYSTEM IMPLEMENTATION ALL OVER INDIA FOR EACH AND EVERY TASK / EVERY WORK / EVERY PROJECT ACTIVITIES AND PROGRESS MONITOR AS WELL CONTROL,,,,,,,,,,,,,,,,,,,,,
2,"Dear Honourable PM
I am very happy with your governance and will always be available to support in your mission.",,,,,,,,,,,,,,,,,,,,,
3,"Respected sir,I,Dr.Sweta Waghela,wish to bring it to your notice that the admission rules set by government are not being followed.I have been a university ranker thrice during bds but inspite of giving entrance exam twice i am not able to secure a seat in post graduation because of improper implementation of rules.Inspite of high merit i am not getting admission because i have done my graduation from a college affliated to bhavnagar university.kindly help us by setting a gov admission committee",,,,,,,,,,,,,,,,,,,,,
4,"Hon'ble Sir, It is very unfortunate that CBSE and other State Board schools are including books of private publishers in their syllabus which are not easily available; their prices are too high; and heavy commission is transacted in this. Please take action that schools include only CBSE, NCERT books in their syllabi which are economical and affordable by everyone. The Government is doing well under RTE for poors; but poors are not able to afford pvt books of Rs500 plus. Strong action be taken.",,,,,,,,,,,,,,,,,,,,,
5,"I live in Kestopur, Bidhannagar Municipal Corporation area in Kolkata. Most of the residents in this area are outsiders and do not contribute to the vote bank. Probably this is the reason that the local body takes no pain in repairing of basic amenities like roads, drains and common people like rickshaw pullers suffer a lot. Can we just launch some system/app, where we take pictures of the conditions of roads, drainage and other civil amenities and urge the local bodies to act.",,,,,,,,,,,,,,,,,,,,,
6,"Respected Prime Minister,
Even after almost 7 decade of Independence our basic education system has not flourished to an optimum level of quality ,Except Kendra Vidyalaya there is no other institution under the government initiative from pre primaray to secondary education which match the private institute
The time has come that all schools need to be upgraded and brought under umbrella of KV to compete private schools in quality
Citizens want govt jobs but dont want to study in govt school",,,,,,,,,,,,,,,,,,,,,
7,"Hon.Modiji, It's the MInd set of Govt. Officials or CongressEra/British Era has not changed at all , So corruption/ inefficiency along with arrogance is  growing by manifolds. As legal mafia is difficult to handle so i8llegal mafia/criminals are still prospering. Police prefer small criminals as GANGS are untouchables. Evem PMO officials are protecting at present so the IAS/IPS/ Judiciary.So Kindly thinks about these untouchables many kind of discrepancies will stop totally. Thanks",,,,,,,,,,,,,,,,,,,,,
8,"NanoFarm - A solution for urban farming. This is compact unit of hydroponic crop production system on wheel with complete automation and accommodating 20-30 plant/unit. These units can be easily put in any balcony or lawn. NanoFarm units will be developed under protected cultivation in strict supervision of professional till these unit start fruiting. Once the units are ready for harvest, it will be installed at customer's place. As the unit is self operated, there is no need for hydroponic skil",,,,,,,,,,,,,,,,,,,,,
9,"Recently we are facing problems regarding call drops, poor connectivity in the mobile network. I am apprehensive that the dream of Digital India don't get delayed due to poor network of communications. TRAI need to act",,,,,,,,,,,,,,,,,,,,,
10,"Our Beloved and Respected Shri Modiji, Now the summer is started and water scarcity will also happen. I request you to kindly focus on minimum use of water and also instruct Railway Dept not to use water for cleaning the platforms and Railway Lines as I seen on Nagpur Rly Stn. Galons of water is being used for cleaning the platforms and railway lines.  Pl restrict them and tell them to clear by water only by fortnightly and not daily. Jal Hi Jeevan Hai.    Jain Hind.",,,,,,,,,,,,,,,,,,,,,
1,"Respected PM Modiji, I am a student and one issue that I would really like you to speak about is the cultivation of innovative ideas among the students of today. Most of the students nowadays are more focused on joining the technical field and getting jobs. This has resulted in an excess of labour force in the technical sector. The committee that decides the curriculums should think about including a various fields and this will result in the students bringing out innovative ideas",,,,,,,,,,,,,,,,,,,,,
2,"Let every citizn interact and contact more to their elected rep like corporators, MLA, MP of their area. Becoz more participation will.only make our democracy stronger and make these elected representative accountable. When our PM is Pradhan sevak these MLA  N other also should be Aam sevak.
Otherwise local municipality or elected rep shud ensure their contact, in all way is available and displayed in public domain very prominently...xcellent example in Bangalore every Street display as attach",,,,,,,,,,,,,,,,,,,,,
3,"MOST RESPECTED MODIJI,.WE ARE REALLY GRATEFUL FOR YOUR RELENTLESS DIGITALISATION EFFORT .THIS IS FAR MORE TRANSPARENT AND ATTACHES ACCOUNTABILITY IN GOVERNANCE...BUT YOUR OFFICIAL NOT WORKING AS THEY SHOULD.THEY IN FACT SLOW OR LET DOWN THE NATION.FOR EXAMPLE YOUR GOVERNMENT ONLINE RTI WEBSITE HAS NOT INCLUDED THE NAME OF STATE BANK OF INDIA IN THEIR DROP DOWN LIST AGAINST WHOM ONE CAN DIRECTLY FILE AN RTI REQUEST ONLINE.I HAVE LODGED COMPLAINTS TO CPGRAM WEB AND WRITE TO PM DIRECTLY TO NO EFFEC",,,,,,,,,,,,,,,,,,,,,
4,"Namaste Modiji! I am Dr.Kapil,a junior physician working in Bangalore and a supporter of Your Idea of Bharat and BJP.  Sir, as you're aware there have been increasing episodes of violence against doctors and medical community in the past few days.  I have been a victim too. It is difficult to work under these circumstances. Requesting you to kindly help the medical fraternity. Unless rectified brain drain is inevitable. We want to stay and serve the country but its proving increasingly difficult",,,,,,,,,,,,,,,,,,,,,
5,"Respected sir, my suggestion is about the women security in Delhi. Yesterday one of my friend teased by few boys in car, in KALKA MOD delhi, surprisingly it was not acceptable for me if Indian Govt is unable to secure women in Delhi, My suggestion is to cover whole Delhi region with cctv cameras. Either take any action about this type of incidents. Thank You!",,,,,,,,,,,,,,,,,,,,,
6,"Dear prime minister ,
My name is dr Vaishak Vidyadhar, I am a physician from Bangalore . Sir, the past few days have been a tumultuous feeling for the doctor community in India ,the increasing violence against doctors ,and the subsequent reactions from the political establishment ,blaming doctors from shirking away from responsibility has been in very bad taste . please address the country and sensitise the need to stay away from violence against doctors and violence should be a NB offence .",,,,,,,,,,,,,,,,,,,,,
7,"Dear Sir, This is Dr. Santosh Pundalik Rajguru, Asst. Professor in English, working in Laxmibai Bhaurao Patil Mahila Mahavidyalaya, Solapur since last 15 years.  We worked on 'Maternal and New Born Health Project'in which our girl student trained to educate pregnant mother from inception to delivery of the child.  For safe and secure delivery and the healthy baby this project was very useful.  Kindly suggest Ministry of Health to make it mandatory, so that next generation would be healthy.Thanks",,,,,,,,,,,,,,,,,,,,,
8,"I have a suggestion attached as a pdf file please
Thanks",,,,,,,,,,,,,,,,,,,,,
9,"Is our national soil analysis infrastructure is contributing for the growth of Agriculture? Answer is big NO!!!!!This can be validated by analysis report of soil fertility for past 10 years. Analysis indicates change in soil fertility status is non-significant (Geo-referenced).National data is sowing significant change in soil fertility status, is it because of fabricated soil analysis report or in-efficiency of the system? My claim can be validate by regular geo-reference sampling.Time to think",,,,,,,,,,,,,,,,,,,,,
10,"Most respected Sir,  The land slide victory in the state assemblies proved your truthfulness on INDIA. My humble request please implement the recommended  7th pay commission to the pensioners of autonomous bodies. We performed our duties at the most care for the benefit of our societies. Still we are willing render our helping hand by providing our knowledge on our respective field for the growth of India as expected by you.",,,,,,,,,,,,,,,,,,,,,
1,"with summer setting in, PM should focus on linking up of rivers , a long term plan",,,,,,,,,,,,,,,,,,,,,
2,"Honourable PM Shri.Narendra Modiji, I,Mrs.Ranjini Ramesh, working as Ass.Professor in private college in Bengaluru, Karnataka. I teach Environmental Science for UG students, also take classes for mandatory UGC course on Environment & Public Health. Sir, I request you to please enforce the mandatory course as per UGC guidelines in all private autonomous colleges, as they are not following syllabus & not teaching subject properly. Students dont take it seriously and no jobs for Env.Sc teachers.",,,,,,,,,,,,,,,,,,,,,
3,"Dear Sir,",,,,,,,,,,,,,,,,,,,,,
4,Respected sir i am very happy UP govt initiate to close butcher khana sir my suggestion if govt announce that we purchase cow wastage(Gobar) for Rs 3 to 5 per kg then definately people we not kill animal they will take care and govt can usr this waste material for making bio gas and urea and we can save dollar,,,,,,,,,,,,,,,,,,,,,
5,"I request you to motivate the youngsters of UP for participating in skill India and start UP sothat they become self independent and think their own business. some of my friends are in foreign country and they want to do something for their village , state and country but how they can proceed for that is very difficult.  Our Bundelkhnad area , no good hospitals is available for treatment for poor people . I request you that you make one AIMS hospital in Mahoba district for poor people. Jai Hind",,,,,,,,,,,,,,,,,,,,,
6,"Namaskar sir,please improvement of education system is very important because presently I am taking free tuition to poor children the Govt schools not good because when i taking class we discuss regarding this please coordinate with me Medhini Gutte I have good idea about education system and atleast each state has same syllabus.CBSE pattern.
School fees are not tolerate by common man our country is growing country we have support our future children's children's children's.",,,,,,,,,,,,,,,,,,,,,
7,"Sir, ",,,,,,,,,,,,,,,,,,,,,
8,"Innovative idea for digital India.
1.India is a country of religions. And the black money is stored mostly in religious places (stating it as a donation). So why not create a app or a system just like phone pe or bhim or paytm in which all official places of worship are registered and devotees may give online donation to a particular church or temple.Those organization which will accommodate this facility and encourage devotees to do so will should be rewarded.",,,,,,,,,,,,,,,,,,,,,
9,"Dear Sir,",,,,,,,,,,,,,,,,,,,,,
10,"Part Many of issues facing our nation can be resolved, if citizens of this country start feeling RESPONSIBLE & UNDERSTAND THEIR RESPONSIBILITY TOWARDS THE NATION.",,,,,,,,,,,,,,,,,,,,,
1,"Dear PM: I suggest you must talk about improving quality of education in Govt Primary Schools. This is the foundation time for children to become responsible citizens. lack of good teachers, infrastructure and corrupt practices in selection and appointment of teachers are all the evils to quality education in Govt schools. Make it compulsory for all govt servants, including politicians to send their children to Govt schools.",,,,,,,,,,,,,,,,,,,,,
2,RESTORING THE LOST GLORY  BHARATA,,,,,,,,,,,,,,,,,,,,,
3,"Hon'ble Prime Minister,
             It's  my pleasure to have an opportunity to share my idea in Mann ki Baat . Sir, please take a tough step to curb the  using of pesticides in the vegetables. Eating pesticides foods are deteriorate our health in day to day. In the present scenario,we are helpless.It is also very harmful for the next generation. If we eat fresh food  without pesticides, the cost of medical emergency will automatically decrease.  Please take an immediate step.
Thanking you.",,,,,,,,,,,,,,,,,,,,,
4,"Respected Sir, a new technology has arrived for growing plants under controlled environment and I am prepared to give a presentation on ' NET GENERATION CULTIVATION OF PLANTS FOR HIGH PRODUCTIVITY AND MINIMAL PESTS AND DISEASE USING CONTAINED CONTROLLED ENVIRONMENT' that will feed India irrespective of its population, now in use in developed countries like USA, Japan The Netherlands, S Korea and some European Countries. Dr.DB Parakh, Principal Scientist, ICAR-NBPGR New Delhi. 9871141577",,,,,,,,,,,,,,,,,,,,,
5,"Respected PM Sir
I congratulate to winning UP election in full majority . I am from UP and doing job in other state like jharkhand , CG, Gujarat and now in Odisha since 10 years. As like me, millions of youngsters has left their state due to unemployment. After formation of UP  Government Yogi sarkar is doing work hard and he is trying to make establish  Kanoon ka Raj. I want to ask to you that your skill India and Start up scheme are very good but in UP young people are not aware from that.",,,,,,,,,,,,,,,,,,,,,
6,"Respected Prime Minister Sir
Jai Hind
Please try to resolve this social issue for the betterment and uplifting of Dalits.
thanks
with best regard
Kishan Bushahari
Ner chowk Mandi Himachal Pradesh
9418020142",,,,,,,,,,,,,,,,,,,,,
7,"Sir,
First & foremost, glad & feel proud abt d prompt action from PMO to a student from Mandya in Karnataka, who was seeking edu. loan.
We, citizens of this nation r all indeed grateful to hv proactive & responsive PM/PMO. But at the same time, do feel that, there may be many students all over India, in similar situation & Is it not possible for the GOI to issue an advisory to banks to promptly grant Edu-Loans to all such students, so that our students do not have to run from pillar to post!!",,,,,,,,,,,,,,,,,,,,,
8,"Respected PM,I would like to share my concern about the day-to-day troubles our policemen are enduring while doing their duties. I couldn't imagine how much they would be suffering to stand in the hot sun for many hours together without sitting even for a while. Higher level officers may have their vehicle whereas constables and Traffic policemen especially police women are suffering a lot.They may be given a supporting system like the one i propose herewith to mitigate their sufferings. Thanks",,,,,,,,,,,,,,,,,,,,,
9,My suggestion is to solving problem of traffic in Delhi.Take help of all the residence of Delhi to become traffic police.Every body have mobile phone in hand so they can solve the problem of Delhi traffic and punish them who are not obeying the traffic rules.,,,,,,,,,,,,,,,,,,,,,
10,Most Urgent and Important: This Scheme can be proved a way to change the scenario of death in road accidents due to no timely help. Please Read. My mobile no. is 9818006731,,,,,,,,,,,,,,,,,,,,,
1,"Respected Sir, To bring dream of housing for all and further reduce the purchase cost of pucca houses I request you to make a law that pucca house whenever built with cement and steel cannot be broken/ destroyed for at least 99 years or as suggested by civil/architects. this will further bring down the prices in big, mega, small cities, towns and all will be able to afford a house. Dr. DB Parakh Agriculture Scientist, ARS ICAR NBPGR New Delhi",,,,,,,,,,,,,,,,,,,,,
2,Retirement Age should be Reduced So that More and More Young People can come into the system. At least in some area we can do the same. it reduce even cost to the Government. At Processing Level More and More Young People should be there and at wisdom Level Elders and Experienced people are appropriate. (Retirement is not a policy of Use and Throw but Giving Chance to New People and Searching New Opportunity based on Experience by Retired People with Reasonable Pension),,,,,,,,,,,,,,,,,,,,,
3,"Modiji,u have taken steps for good wealth management in the country,we wish u also take steps for good health management, set limits for alcohol consuming persons by using biometric system,alcohol must b sold based on their income,set limits for using natural fuels and focus more on organic farming, only healthy people can build a wealthy nation.pollution is causing lot of health problems,encourage people to use common conveyance. Setting limit on alcohol will reduce crime rate and accidents",,,,,,,,,,,,,,,,,,,,,
4,"Namaskar modi sir,
My name is manjunath Gutte from maharashtra pune I am common family person from karnataka but basically I want suggest you regarding two sectors 1) Defencee.2) Education.3) Irrigation.
1) Defence Sector improve the central govt office and officer skills Involve into pubic transportation sectors means sir use of our population and skill of Defence officer why not we build metro project lines and we can save more then planned money.",,,,,,,,,,,,,,,,,,,,,
5,"Provide e-wallet/BHIM/POS facilities in all buses and railway stations, all government offices and Khadi stores. #Mannkibaat #MyGov",,,,,,,,,,,,,,,,,,,,,
6,"Further reduce the cap on cash transactions to ₹1 lakhs and put a similar limit on gold purchase, say maximum 20 or 30gm only via cash. Also, make funding of political parties & NGOs 100% electronic/cheque/DD/bond modes only. #Mannkibaat #MyGov",,,,,,,,,,,,,,,,,,,,,
7,"Hon PM Ji,
The assault on doctors esp in government(free service) hospitals has become rampant. The anti-social elements, political musclemen, private hospital touts may be some factors. The accompanying persons either in shock or under influence of alcohol, seek unrealistic expectations from duty doctors. Since loosing precious time on detailed 'informed consent', sometimes, 'implied consent' has to be applied.Please address this problem and  bring about safe and secure,free atmosphere.",,,,,,,,,,,,,,,,,,,,,
8,"suggestions need action as such in himachal pradesh yours attention is required as electicity is cheap ,manpower is cheap ,environment is good and infrastructure for industry is good you can call me for further discussions I will not waste yours precious time but will definetly give fruitfull implementation idea  my no 9218546011 ,employment has to be generated with good action plans and  not from trainings for which we do not give up good enterprenuers.",,,,,,,,,,,,,,,,,,,,,
9,"Respected Sir,
 Reality of India
*More than 42 per cent of Indian children are malnourished
*more than 53% of children in India are subjected to sexual abuse
 Both Boys and Girls
*95% children in India abused physically, emotionally, and sexually
*3000 Children Die In India Every Day Due To Malnutrition
 Einstein Thinking
Everybody is a Genius. But If You Judge a Fish by Its Ability to Climb a Tree, It Will Live Its Whole Life...
 please must try to impower child right in India",,,,,,,,,,,,,,,,,,,,,
10,A matter of concern from Himachal pradesh  as the package of industries is winding up in 2018 and some units are going as such the employees are being shunt out or given transfers and above all the places will ruin as employment will vanish please take care of this and I suggest that with the cominmg of GST you need to stress on this that the units whose packages end in 2018 should continue for at least 05 years in the stae if which they were working as such employment will increase,,,,,,,,,,,,,,,,,,,,,
1,"Respected Prime Minister Sir
Jai Hind
Please try to resolve this social issue.
thanks
with best regard
Kishan Bushahari
Ner chowk Mandi Himachal Pradesh
9418020142
mygov_149033092246749501.pdf",,,,,,,,,,,,,,,,,,,,,
2,"Create an online review/appraisal portal where the local population can rate their DM,MLA and work of other government departments so that the government can know the situation at grassroot level and take actions accordingly. #Mannkibaat #MyGov",,,,,,,,,,,,,,,,,,,,,
3,"Respected PM Sir,
The price for Books of CBSE curriculum published by NCERT is very cheap. But private schools are imposing books published by private publisher and which have cost 15-20 times more than the NCERT books. So please take a look into this issue.",,,,,,,,,,,,,,,,,,,,,
4,"Respected Narendra Modi Garu, Senior citizens should get proper attention. There should be a separate grievance redressal mechanism with a time frame .Whether it is bank interest, pension problem, it should be attended by a very senior official from PMO to give directions at once. I humbly submit. with best regards.",,,,,,,,,,,,,,,,,,,,,
5,There is no changes in the life of former's past 50years. No govt can think about better life for former. Some one politicians chemical companies got profits but former lost their lives for that companies.  please do some thing.,,,,,,,,,,,,,,,,,,,,,
6,"Advance the IST by 30 minutes.Most backward states fall in the eastern part of the country; UP, Bihar & West Bengal carry 1/3rd population of the country.Assam, Orissa,Jharkhand & 7 sisters in North East add another 12 crore in population making regional population 52 crore. Poverty is prevalent in eastern part of UP too.Advancing the IST can add some extra daylight & save 2.3 billion energy units/year.
http://rightlog.in/2017/03/tweaking-ist-30-minutes-increase-gdp/
#MannkiBaat #MyGov",,,,,,,,,,,,,,,,,,,,,
7,"Respeted sir, Your dedication your work is very fine I am your fan sir i give you small sugesstion for our indian unemployees working in pvt institutions they are not getting good salaries because some they are not submitting false matters for government hence please do with aadar enrollment and getting salaries favarable decesstions. and central govt jobs upto 25yrs eligible for jobs it is wrong please once see sir",,,,,,,,,,,,,,,,,,,,,
8,"Respected Sir,     We Indians as a work force - be it a peon or a bureaucrat or a teacher,   need to inculcate the virtues of  accountability at work, to engage and deliver with sincerity the responsibilities assigned to us.  This  lackadaisical work attitude is one of our serious impediments  that is plaguing  National productivity. The Japanese are always remembered for their work culture and ethics, globally. What fails us? Thank you very much.",,,,,,,,,,,,,,,,,,,,,
9,"Water is a scarce resource already..Keeping this in mind,we must note that a sizable percentage of public is using RO at home & various establishmenst.Each RO results in wastage of about 65% water.This means thst for one liter pure water,RO wastes uses 3 litres water.User gets 1 litre pure water & RO sends out 2 litres of water as waste.
It is time to ban or restrict useage of RO & switch to other modes of water purification(viz acquaguard etc)
Vijay Batra
Kota
Raj",,,,,,,,,,,,,,,,,,,,,
10,"Namaste! we are seeing that advertiements are misleading the innocent peoplein country why can't youopen one department to check them before publish in media and impose tax to secruiting them will increase the Govt. fund and some jobs can be generated . One more to fix law in affiliation bye laws of all hospitals, hotels and hospitals to build one public toilet for Gents and Ladies on their boundary and keep tidy can make big facilities all cities without Govt. fund I have a lot of idea",,,,,,,,,,,,,,,,,,,,,
1,"Respected Prime Minister Sir
Jai Hind
Please try to resolve this social issue
thank
with best regard
Kishan Bushahari
Ner chowk Mandi Himachal Pradesh
9418020142",,,,,,,,,,,,,,,,,,,,,
2,"#Appreciate App #MeriSadak!Im sure it will add value and get traction in issues faced.Request to initiate a similar app to report issues by city IN VERY DEFINED CATEGORIES,where people can report broken/missing pavements,conveniently dismantled barriers(destruction of public property),broken traffic lights/street lights,request for zebra crossing,self-declared taxi/auto stands,garbage around hawkers/kiosks,missing dustbins.For #bettervisibility and #trackingprogress. Let's #MODIfy ? :)",,,,,,,,,,,,,,,,,,,,,
3,"we have a Big Army , Air force & Naval troops.For those we procuring shoes from Israel but we can establish our own manufacturing Unit and we are capable enough to do just proper initiative need to be taken",,,,,,,,,,,,,,,,,,,,,
4,"Hike the taxes by upto 400-500% on pan,gutkha,cigrattes & other tobacco products as well as on alcohol & please ban alcohol in Uttarakhand. It has ruined numerous families in our Devbhoomi",,,,,,,,,,,,,,,,,,,,,
5,"Respected sir
main village kirmach distt. kurukshetra (HARYANA) ka rhne wala hu ... gaon ki panchayat ki taraf se dustbin lgwaye gye the pr wo dustbin public ne ukhad ukhad ke apne ghar rkh  liye hai ... aise logo ko sir ap hi smjha skte hai .. main chahta hu ke ap iss topic pe mann ki baat me kuch kahe ...",,,,,,,,,,,,,,,,,,,,,
6,You can look into work of GOODWILL INDIA organisation who has distributed more than 300000 (three lakhs)refurbished clothes to poor people in Pune city. Worth your attention. The project is working nonstop daily without a break for poor people.,,,,,,,,,,,,,,,,,,,,,
7,"There is no innovation in Govt peoples , Whenever summit organized in states only Investor calling what Investor will do there what target you giving them what to manufacture , I think first focus on 60% what all industries Import , In India So many investors. Convert 60% to Make in India concept , It will help to strong Economy of India. Foreign Investor only strong their countries.Bring technology ask existing Business tycoon to put Plants like Lithium Battery , Ebikes , Raw materials etc",,,,,,,,,,,,,,,,,,,,,
8,"Dear Modi Ji,
To ensure that traffic cops focus on solving the traffic then we must withdraw the power to collect money from them. Cops should only be able to give tickets/ challen against the vehicle no/insurance/DL & the fine must be paid directly to bank/online. Otherwise it's not just a big area of corruption but also it shifts their focus from solving real issues to vasuli & in turn people suffer. Increasing the fine will not help unless we get such kind of system in place. Thank U. #MyGov",,,,,,,,,,,,,,,,,,,,,
9,"To provide my selfless services in our recently launcheda hospital on wheels.
Respected Sir,
I am, Dr. Surendra Gupta, M.D.(Medicine),P.G.D.D.M. (U.K.), a physician and diabetologist,running my private hospital since 26 years at Palanpur ( Gujarat).
I hereby offer my selfless/free services as a physician and diabetologist for 15 days every year(anywhere in India) in recently launched a  train.
Waiting for your consideration.
#MannkiBaat #MyGov",,,,,,,,,,,,,,,,,,,,,
10,"Dear Modiji, there is a cry everywhere for problems faced due to shortage of water. People are working towards techniques to increase water table. But after increasing this water table, there are some important things which can help farmers use this water effectively without wasting it and also protecting the crops during hot summers.
I wish to give low cost automation mainly directed towards water conservation and saving the crop.",,,,,,,,,,,,,,,,,,,,,
1,"Respected Sir,
E Office & Gov. Mail is still not being used in most of the Central Govt. Offices. The reluctance to use it is hampering the digitization of offices and further slowing down the hole process. I had interaction with several central govt. officials and though they themselves accepted that it's an excellent and fast medium of doing office work but still a lot more is required to be done. Gov.Mail is reportedly slow which needs to be speedup.
Thanks & Regards",,,,,,,,,,,,,,,,,,,,,
2,"Great decision of demonetization in the interest of nation. Similarly prohibition of liquors will save health, financial status, family development and social level of poorer class of the country. It will certainly improve the living of poor in country. A bold person can take such decision in the our diverse country.",,,,,,,,,,,,,,,,,,,,,
3,Namaskar Pradhanmantri Ji,,,,,,,,,,,,,,,,,,,,,
4,"Respected Sir
One of the biggest problems facing our transport sector , is the wastage of time , fuel and money at the various toll collection centers . Electronic tags , and card payment system should be implemented at the earliest to improve the situation .",,,,,,,,,,,,,,,,,,,,,
5,"Respected sir,
I want you to pay attention towards the martyr the hero the one Bhagat Singh and his comrades . Why they are still terrorist . Why they are not declared as our hero to the whole world why the whole India didn't even remember about their birth or death anniversary I request you to please do something about them so that at least every Indian must remember these heroes . Because of them only we're breathing in this fresh air. Sir please do notice this and take some action .
P S",,,,,,,,,,,,,,,,,,,,,
6,"Making fool by ""Make in India"" is just Slogan , There is no measure able tool developed.
In all industries 60% still import & 40% Local made product used. There should be department who approve the product before import or take target when it will make in India,Like pf,Labour sale tax , Similarly controlling on Industries there are many benifits.",,,,,,,,,,,,,,,,,,,,,
7,"Draft Smart Cities-Inline with motive of Swach Bharat,request to please motivate people for garbage segregation at home.Start with a locality as model example and implement across the city.Knowledge sharing activity to educate folks.Unsure how to track compulsory attendance as door2door will take time,all may not have mobile phones,Banks probably,as the BPL may have at-least Jan dhan accounts by now.Banks may participate as CSR activity.Prototype use of recycled-plastic dustbins.",,,,,,,,,,,,,,,,,,,,,
8,"in our schools every year pupils get new books.instead of printing new books why can't we collect the books and assign the books to newly joined pupil?in this process we will save revenue and more importantly ""Trees""or we can start a process to get few marks for those who submit thier books fresh after year long of use.",,,,,,,,,,,,,,,,,,,,,
9,"My Dear beloved Sir,",,,,,,,,,,,,,,,,,,,,,
10,"Hello Sir,
Jaha tak mai janta hu, ye desh mitti ka desh hai, jise bharat mata kehte hai, Maa bharti keh iski puja karte hai, Aap bi yhi mante hai.
Yah hamara Bharat desh hai naa, fir iske do alag alag naam kyu hai. English me India or Hindi me Bharat, ham apne desh me to proud se bharat mata ki jai bol dete hai par, videsh me kya India mata ki jai bole.
Yha tak ki pakistan ka vi sirf ek naam hai Pakistan hai.
Anya desh ke bi ek hi naam hai.
Ham aaj bi angrejo ki dharohar ko kyu dho rhe hai.",,,,,,,,,,,,,,,,,,,,,
